from_target,to_target,distance_m (+/- 0.00005m)
40,60,0.58528
40,61,0.53926
40,62,0.49290
40,63,0.44563
40,64,0.39929
40,65,0.35064
41,60,0.53834
41,61,0.49232
41,62,0.44596
41,63,0.39869
41,64,0.35235
41,65,0.30370
42,60,0.49100
42,61,0.44498
42,62,0.39862
42,63,0.35135
42,64,0.30501
42,65,0.25636
43,60,0.44435
43,61,0.39834
43,62,0.35197
43,63,0.30470
43,64,0.25836
43,65,0.20971
44,60,0.39745
44,61,0.35144
44,62,0.30507
44,63,0.25780
44,64,0.21146
44,65,0.16281
45,60,0.34984
45,61,0.30382
45,62,0.25746
45,63,0.21019
45,64,0.16385
45,65,0.11519
50,70,0.58576
50,71,0.54038
50,72,0.49323
50,73,0.44726
50,74,0.39922
50,75,0.35163
51,70,0.53810
51,71,0.49273
51,72,0.44558
51,73,0.39961
51,74,0.35157
51,75,0.30397
52,70,0.49072
52,71,0.44534
52,72,0.39819
52,73,0.35222
52,74,0.30418
52,75,0.25658
53,70,0.44356
53,71,0.39818
53,72,0.35103
53,73,0.30506
53,74,0.25702
53,75,0.20942
54,70,0.39679
54,71,0.35142
54,72,0.30427
54,73,0.25830
54,74,0.21026
54,75,0.16266
55,70,0.35012
55,71,0.30475
55,72,0.25759
55,73,0.21163
55,74,0.16359
55,75,0.11599
